
=== SAN SANG — DO TRONG 30 GIAY ===
Pressure(Pa),Raw(m),Kalman(m),State
7.10s,100840.50,0.900,0.876,1.00
7.15s,100840.50,0.900,0.879,1.00
7.20s,100840.16,0.926,0.885,1.00
7.25s,100839.99,0.942,0.893,1.00
7.30s,100840.50,0.900,0.894,1.00
7.35s,100841.52,0.781,0.879,1.00
7.40s,100841.91,0.781,0.866,1.00
7.46s,100841.52,0.812,0.859,1.00
7.51s,100841.40,0.823,0.854,1.00
7.55s,100841.58,0.807,0.848,1.00
7.61s,100841.58,0.807,0.843,1.00
7.66s,100841.94,0.791,0.836,1.00
7.71s,100841.77,0.791,0.830,1.00
7.76s,100841.44,0.820,0.829,1.00
7.80s,100841.94,0.778,0.822,1.00
7.86s,100841.94,0.778,0.816,1.00
7.91s,100841.24,0.836,0.819,1.00
7.96s,100841.94,0.778,0.813,1.00
8.01s,100840.83,0.870,0.821,1.00
8.06s,100840.83,0.870,0.827,1.00
8.10s,100840.83,0.870,0.833,1.00
8.15s,100841.40,0.823,0.832,1.00
8.21s,100841.58,0.807,0.829,1.00
8.26s,100841.77,0.791,0.824,1.00
8.31s,100841.77,0.791,0.819,1.00
8.35s,100841.94,0.778,0.814,1.00
8.40s,100841.75,0.794,0.811,1.00
8.46s,100841.94,0.778,0.807,1.00
8.51s,100841.77,0.791,0.805,1.00
8.56s,100841.77,0.791,0.803,1.00
8.60s,100840.99,0.857,0.810,1.00
8.65s,100841.16,0.844,0.815,1.00
8.71s,100840.58,0.892,0.825,1.00
8.76s,100839.74,0.963,0.843,1.00
8.81s,100839.74,0.963,0.859,1.00
8.85s,100839.23,1.005,0.878,1.00
8.90s,100839.07,1.018,0.897,1.00
8.96s,100838.69,1.050,0.917,1.00
9.01s,100838.72,1.048,0.934,1.00
9.06s,100839.63,0.971,0.939,1.00
9.10s,100839.97,0.942,0.939,1.00
9.15s,100839.39,0.992,0.946,1.00
9.21s,100839.63,1.005,0.954,1.00
9.26s,100839.80,0.958,0.955,1.00
9.31s,100839.46,0.987,0.959,1.00
9.35s,100839.63,0.929,0.955,1.00
9.40s,100841.39,0.826,0.938,1.00
9.46s,100841.89,0.783,0.917,1.00
9.51s,100842.74,0.712,0.890,1.00
9.56s,100843.92,0.612,0.854,1.00
9.60s,100844.78,0.540,0.812,1.00
9.65s,100845.12,0.511,0.773,1.00
9.71s,100847.22,0.337,0.715,1.00
9.76s,100847.15,0.342,0.666,1.00
9.81s,100847.89,0.281,0.615,1.00
9.85s,100848.67,0.215,0.563,1.00
9.90s,100848.85,0.202,0.515,1.00
9.96s,100848.85,0.202,0.474,1.00

>>> [DAT XUONG BAN] <<<
10.01s,100849.76,0.125,0.428,0.00
10.06s,100849.76,0.125,0.388,0.00
10.10s,100849.92,0.112,0.352,0.00
10.15s,100850.27,0.080,0.316,0.00
10.21s,100850.78,0.038,0.279,0.00
10.26s,100850.27,0.080,0.253,0.00
10.31s,100850.33,0.078,0.230,0.00
10.36s,100850.50,0.062,0.208,0.00
10.41s,100851.00,0.020,0.183,0.00
10.46s,100850.67,0.049,0.165,0.00
10.51s,100850.83,0.036,0.148,0.00
10.56s,100850.83,0.036,0.133,0.00
10.61s,100851.57,-0.028,0.112,0.00
10.66s,100851.41,-0.012,0.096,0.00
10.71s,100851.24,0.001,0.083,0.00
10.76s,100850.89,0.030,0.076,0.00
10.81s,100851.24,0.001,0.066,0.00
10.86s,100851.07,0.014,0.060,0.00
10.91s,100850.56,0.059,0.060,0.00
10.96s,100850.22,0.086,0.063,0.00
11.01s,100850.05,0.102,0.068,0.00
11.06s,100850.67,0.049,0.066,0.00
11.11s,100851.07,0.014,0.059,0.00
11.16s,100850.72,0.043,0.057,0.00
11.21s,100850.56,0.059,0.057,0.00
11.26s,100850.50,0.062,0.058,0.00
11.31s,100850.67,0.049,0.057,0.00
11.36s,100850.50,0.049,0.056,0.00
11.41s,100851.74,-0.041,0.043,0.00
11.46s,100851.57,-0.028,0.033,0.00
11.51s,100851.24,0.001,0.029,0.00
11.56s,100851.46,-0.017,0.023,0.00
11.61s,100851.64,-0.033,0.016,0.00
11.66s,100851.30,-0.004,0.013,0.00
11.71s,100850.62,0.054,0.018,0.00
11.76s,100850.45,0.067,0.025,0.00
11.81s,100850.45,0.067,0.030,0.00
11.86s,100849.53,0.144,0.045,0.00
11.91s,100849.71,0.128,0.056,0.00
11.96s,100849.94,0.110,0.063,0.00
12.01s,100849.94,0.110,0.069,0.00
12.06s,100849.60,0.139,0.079,0.00
12.11s,100849.26,0.168,0.090,0.00
12.16s,100849.26,0.168,0.100,0.00
12.21s,100849.09,0.181,0.111,0.00
12.26s,100849.77,0.123,0.113,0.00
12.31s,100849.88,0.115,0.113,0.00
12.36s,100850.56,0.059,0.106,0.00
12.41s,100850.56,0.059,0.100,0.00
12.46s,100851.30,-0.004,0.086,0.00
12.51s,100851.07,0.014,0.077,0.00
12.56s,100851.97,-0.060,0.059,0.00
12.61s,100852.32,-0.089,0.039,0.00
12.66s,100851.92,-0.057,0.027,0.00
12.71s,100852.14,-0.075,0.013,0.00
12.76s,100851.81,-0.046,0.005,0.00
12.81s,100851.81,-0.046,-0.002,0.00
12.86s,100852.32,-0.089,-0.013,0.00
12.91s,100852.35,-0.091,-0.023,0.00
12.96s,100852.17,-0.078,-0.031,0.00
13.01s,100852.66,-0.118,-0.042,0.00
13.06s,100852.99,-0.144,-0.055,0.00
13.11s,100853.33,-0.173,-0.071,0.00
13.16s,100853.71,-0.205,-0.089,0.00
13.21s,100853.19,-0.134,-0.095,0.00
13.26s,100852.85,-0.134,-0.100,0.00
13.31s,100853.03,-0.149,-0.106,0.00
13.36s,100853.36,-0.176,-0.115,0.00
13.41s,100852.91,-0.139,-0.119,0.00
13.46s,100852.57,-0.110,-0.117,0.00
13.51s,100852.57,-0.110,-0.116,0.00
13.56s,100853.08,-0.152,-0.121,0.00
13.61s,100852.41,-0.097,-0.118,0.00
13.66s,100852.97,-0.144,-0.121,0.00
13.71s,100853.08,-0.152,-0.125,0.00
13.76s,100853.42,-0.181,-0.133,0.00
13.81s,100854.10,-0.237,-0.146,0.00
13.86s,100854.61,-0.282,-0.164,0.00
13.91s,100854.44,-0.266,-0.178,0.00
13.96s,100853.60,-0.197,-0.180,0.00
14.01s,100854.22,-0.247,-0.189,0.00
14.06s,100853.82,-0.215,-0.192,0.00
14.11s,100854.33,-0.258,-0.201,0.00
14.16s,100854.67,-0.287,-0.212,0.00
14.21s,100854.10,-0.237,-0.216,0.00
14.26s,100854.10,-0.237,-0.218,0.00
14.31s,100853.77,-0.210,-0.217,0.00
14.36s,100853.77,-0.210,-0.216,0.00
14.41s,100853.77,-0.210,-0.216,0.00
14.46s,100854.50,-0.271,-0.223,0.00
14.51s,100854.27,-0.252,-0.227,0.00
14.56s,100854.78,-0.295,-0.236,0.00
14.61s,100854.10,-0.237,-0.236,0.00
14.66s,100854.78,-0.295,-0.244,0.00
14.71s,100855.17,-0.326,-0.255,0.00
14.76s,100854.84,-0.300,-0.260,0.00
14.81s,100854.67,-0.287,-0.264,0.00
14.86s,100854.50,-0.271,-0.265,0.00
14.91s,100854.33,-0.258,-0.264,0.00
14.96s,100854.16,-0.245,-0.261,0.00

>>> [NHAC LEN CAO] <<<
15.01s,100853.99,-0.229,-0.257,1.00
15.06s,100853.99,-0.229,-0.253,1.00
15.11s,100855.00,-0.313,-0.261,1.00
15.16s,100854.84,-0.300,-0.266,1.00
15.21s,100854.33,-0.258,-0.265,1.00
15.26s,100853.88,-0.221,-0.259,1.00
15.31s,100854.05,-0.234,-0.256,1.00
15.36s,100853.71,-0.205,-0.249,1.00
15.41s,100853.88,-0.221,-0.246,1.00
15.46s,100854.05,-0.234,-0.244,1.00
15.51s,100853.66,-0.202,-0.238,1.00
15.56s,100852.35,-0.091,-0.219,1.00
15.61s,100851.51,-0.023,-0.193,1.00
15.66s,100850.83,0.036,-0.163,1.00
15.71s,100849.53,0.144,-0.123,1.00
15.76s,100847.94,0.276,-0.070,1.00
15.81s,100847.27,0.331,-0.017,1.00
15.86s,100846.08,0.432,0.042,1.00
15.91s,100845.74,0.461,0.097,1.00
15.96s,100845.74,0.461,0.145,1.00
16.01s,100846.53,0.395,0.178,1.00
16.06s,100846.19,0.424,0.210,1.00
16.11s,100846.36,0.408,0.236,1.00
16.16s,100845.51,0.479,0.269,1.00
16.21s,100844.66,0.551,0.306,1.00
16.26s,100843.47,0.651,0.351,1.00
16.31s,100843.13,0.678,0.394,1.00
16.36s,100842.79,0.707,0.435,1.00
16.41s,100842.69,0.715,0.472,1.00
16.46s,100842.35,0.744,0.508,1.00
16.51s,100842.75,0.712,0.535,1.00
16.56s,100842.41,0.738,0.562,1.00
16.61s,100842.41,0.707,0.581,1.00
16.66s,100842.24,0.754,0.604,1.00
16.71s,100842.81,0.707,0.617,1.00
16.76s,100843.08,0.683,0.626,1.00
16.81s,100842.75,0.712,0.637,1.00
16.86s,100843.08,0.683,0.643,1.00
16.91s,100842.91,0.641,0.643,1.00
16.96s,100843.19,0.675,0.647,1.00
17.01s,100842.17,0.760,0.662,1.00
17.06s,100842.35,0.744,0.673,1.00
17.11s,100842.00,0.773,0.686,1.00
17.16s,100842.00,0.773,0.697,1.00
17.21s,100842.00,0.773,0.707,1.00
17.26s,100841.33,0.828,0.723,1.00
17.31s,100842.07,0.767,0.729,1.00
17.36s,100842.07,0.767,0.734,1.00
17.41s,100842.24,0.754,0.737,1.00
17.46s,100842.07,0.767,0.741,1.00
17.51s,100842.07,0.767,0.744,1.00
17.56s,100841.39,0.826,0.755,1.00
17.61s,100841.05,0.852,0.768,1.00
17.66s,100841.61,0.804,0.773,1.00
17.71s,100841.22,0.839,0.781,1.00
17.76s,100841.39,0.826,0.787,1.00
17.81s,100842.24,0.754,0.783,1.00
17.86s,100843.42,0.654,0.766,1.00
17.91s,100842.69,0.715,0.759,1.00
17.96s,100842.52,0.730,0.755,1.00
18.01s,100843.19,0.675,0.745,1.00
18.06s,100842.46,0.736,0.744,1.00
18.11s,100842.69,0.715,0.740,1.00
18.16s,100843.42,0.654,0.728,1.00
18.21s,100843.19,0.675,0.721,1.00
18.26s,100843.93,0.612,0.707,1.00
18.31s,100844.50,0.598,0.693,1.00
18.36s,100843.77,0.625,0.684,1.00
18.41s,100843.36,0.659,0.680,1.00
18.46s,100843.36,0.625,0.673,1.00
18.51s,100843.77,0.625,0.667,1.00
18.56s,100844.00,0.606,0.659,1.00
18.61s,100844.00,0.606,0.652,1.00
18.66s,100843.49,0.649,0.651,1.00
18.71s,100843.32,0.664,0.653,1.00
18.76s,100843.14,0.678,0.656,1.00
18.81s,100842.58,0.725,0.665,1.00
18.86s,100842.75,0.712,0.672,1.00
18.91s,100842.58,0.725,0.679,1.00
18.96s,100843.25,0.667,0.677,1.00
19.01s,100843.65,0.635,0.672,1.00
19.06s,100843.60,0.641,0.668,1.00
19.11s,100844.96,0.527,0.649,1.00
19.16s,100844.27,0.585,0.641,1.00
19.21s,100844.27,0.585,0.633,1.00
19.26s,100844.16,0.593,0.628,1.00
19.31s,100844.22,0.588,0.623,1.00
19.36s,100844.57,0.559,0.614,1.00
19.41s,100844.74,0.546,0.605,1.00
19.46s,100844.90,0.530,0.595,1.00
19.51s,100844.90,0.530,0.587,1.00
19.56s,100843.32,0.664,0.597,1.00
19.61s,100843.32,0.664,0.606,1.00
19.66s,100842.97,0.691,0.617,1.00
19.71s,100843.14,0.678,0.625,1.00
19.76s,100842.64,0.720,0.637,1.00
19.81s,100842.86,0.701,0.646,1.00
19.86s,100842.70,0.715,0.655,1.00
19.91s,100842.36,0.744,0.667,1.00
19.96s,100842.02,0.773,0.681,1.00

>>> [DAT XUONG BAN] <<<
20.01s,100841.67,0.799,0.696,0.00
20.06s,100841.34,0.828,0.714,0.00
20.11s,100841.34,0.828,0.729,0.00
20.16s,100841.34,0.828,0.742,0.00
20.21s,100841.50,0.815,0.751,0.00
20.26s,100841.85,0.786,0.756,0.00
20.31s,100842.22,0.741,0.754,0.00
20.36s,100842.19,0.757,0.754,0.00
20.41s,100842.22,0.754,0.754,0.00
20.46s,100841.88,0.783,0.758,0.00
20.51s,100840.75,0.878,0.774,0.00
20.56s,100840.18,0.926,0.794,0.00
20.61s,100840.86,0.868,0.804,0.00
20.66s,100843.29,0.664,0.785,0.00
20.71s,100844.14,0.593,0.760,0.00
20.76s,100844.82,0.538,0.731,0.00
20.81s,100846.17,0.424,0.690,0.00
20.86s,100846.75,0.376,0.649,0.00
20.91s,100847.77,0.292,0.602,0.00
20.96s,100848.21,0.255,0.556,0.00
21.01s,100849.13,0.178,0.506,0.00
21.06s,100849.80,0.120,0.455,0.00
21.11s,100850.65,0.051,0.402,0.00
21.16s,100850.25,0.083,0.360,0.00
21.21s,100850.92,0.028,0.316,0.00
21.26s,100850.99,0.022,0.278,0.00
21.31s,100850.42,0.070,0.250,0.00
21.36s,100850.25,0.083,0.228,0.00
21.41s,100849.91,0.112,0.213,0.00
21.46s,100849.00,0.189,0.210,0.00
21.51s,100848.55,0.226,0.212,0.00
21.56s,100848.50,0.231,0.214,0.00
21.61s,100848.50,0.231,0.217,0.00
21.66s,100848.66,0.215,0.216,0.00
21.71s,100849.75,0.125,0.204,0.00
21.76s,100849.75,0.125,0.194,0.00
21.81s,100850.32,0.078,0.179,0.00
21.86s,100850.88,0.030,0.159,0.00
21.91s,100850.14,0.091,0.150,0.00
21.96s,100850.38,0.073,0.140,0.00
22.01s,100850.03,0.102,0.135,0.00
22.06s,100850.21,0.088,0.129,0.00
22.11s,100849.29,0.162,0.133,0.00
22.16s,100849.35,0.144,0.135,0.00
